"ma plantID"	"pa plantID"	"fuzzy_cl"	"num_cl"	"sleeve"	"observer"	"datetime"	"inventory"
"06N1013:0000308"	"06N1013:0000301"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1014:0000411"	"06N1014:0000401"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1017:0000708"	"06N1017:0000701"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1032:0001407"	"06N1032:0001409"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1038:0001906"	"06N1038:0001903"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1039:0002002"	"06N1039:0002007"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1047:0002601"	"06N1047:0002601"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1047:0002603"	"06N1047:0002603"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1047:0002610"	"06N1047:0002610"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1047:0002611"	"06N1047:0002611"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1049:0002702"	"06N1049:0002702"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1049:0002703"	"06N1049:0002703"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1049:0002707"	"06N1049:0002707"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1049:0002708"	"06N1049:0002708"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002801"	"06N1050:0002801"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002802"	"06N1050:0002802"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002804"	"06N1050:0002804"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002805"	"06N1050:0002805"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002806"	"06N1050:0002806"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002807"	"06N1050:0002807"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002808"	"06N1050:0002808"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002810"	"06N1050:0002810"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002812"	"06N1050:0002812"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1050:0002813"	"06N1050:0002813"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1051:0002902"	"06N1051:0002902"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1051:0002909"	"06N1051:0002909"	"tqe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N1051:0002910"	"06N1051:0002910"	"he"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004101"	"06N1014:S0000403"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004103"	"06N1014:S0000404"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004105"	"06N1011:0000101"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004106"	"06N1603:0020008"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004107"	"06N1014:0000407"	"qe"		"v00013"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004109"	"06N1605:0020101"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004111"	"06N1011:0000111"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004113"	"06N1605:0020102"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004709"	"06N1609:0020311"	"fuzzy_cl"	16	"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004401"	"06N1012:0000205"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004401"	"06N1012:0000201"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004408"	"06N1012:0000206"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004409"	"06N1605:0020105"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004410"	"06N1043:0002403"	"fuzzy_cl"	30	"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004411"	"06N1011:0000102"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004412"	"06N1605:0020106"	"fuzzy_cl"	25	"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004701"	"06N1011:0000103"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004702"	"06N1014:0000406"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004705"	"06N1607:0020207"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004708"	"06N1014:0000408"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004710"	"06N1015:0000502"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0004713"	"06N1011:0000105"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005002"	"06N1047:0002601"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005004"	"06N1611:0020404"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005005"	"06N1049:0002706"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005006"	"06N1014:0000410"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005007"	"06N1016:0000602"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005301"	"06N1016:0000612"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005306"	"06N1612:0020501"	"ee"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005303"	"06N1017:0000705"	"xe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005304"	"06N1017:0000711"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005307"	"06N1019:0000805"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005309"	"06N1049:0002707"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005311"	"06N1050:0002804"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005312"	"06N1050:0002806"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005601"	"06N1012:0000202"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005602"	"06N1015:0000501"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005603"	"06N1016:0000605"	"ee"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005605"	"06N1050:0002807"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005606"	"06N1612:0020507"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005608"	"06N1050:0002808"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005609"	"06N1050:0002810"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005610"	"06N1014:0000412"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005611"	"06N1015:0000505"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005901"	"06N1612:0020506"	"fuzzy_cl"	25	"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005903"	"06N1017:0000704"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005904"	"06N1050:0002812"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005905"	"06N1051:0002902"	"he"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005906"	"06N1019:0000811"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005907"	"06N1051:0002909"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005908"	"06N1015:0000506"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0005909"	"06N1019:0000806"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006501"	"06N1612:0020508"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006502"	"06N1616:0020709"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006503"	"06N1019:0000808"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006505"	"06N1019:0000812"	"qe"		"v00014"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006506"	"06N1020:0000901"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006509"	"06N1020:0000911"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006510"	"06N1020:0000913"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006802"	"06N1020:0000903"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006803"	"06N1005:0003607"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006804"	"06N1020:0000905"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006806"	"06N1021:0001009"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006807"	"06N1007:0003707"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006808"	"06N1021:0001003"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0006809"	"06N1016:0000607"	"fuzzy_cl"	13	"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007103"	"06N1014:0000410"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007108"	"06N1240:0001011"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007109"	"06N1032:0001403"	"ee"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007110"	"06N1032:0001409"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007404"	"06N1430:0019002"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007407"	"06N1034:0001601"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007701"	"06N1434:0019209"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007702"	"06N1021:0001012"	"xe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007703"	"06N1034:0001605"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0007707"	"06N1034:0001608"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008001"	"06N1017:0000707"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008002"	"06N1036:0001807"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008004"	"06N1435:0019304"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008005"	"06N1019:0000807"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008006"	"06N1624:0021002"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008008"	"06N1019:0000808"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008010"	"06N1038:0001901"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008301"	"06N1602:0019901"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008302"	"06N1023:0001110"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008303"	"06N1025:0001202"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008304"	"06N1025:0001211"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008305"	"06N1602:0019907"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008306"	"06N1025:0001212"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008307"	"06N1033:0001508"	"fuzzy_cl"	20	"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008308"	"06N1020:0000909"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008309"	"06N1602:0019911"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008601"	"06N1039:0002006"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008603"	"06N1624:0021012"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008605"	"06N1033:0001509"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008606"	"06N1040:0002101"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008906"	"06N1602:0019912"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008907"	"06N1701:0021506"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008908"	"06N1034:0001604"	"fuzzy_cl"	35	"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0008909"	"06N1713:0021902"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009201"	"06N1021:0001002"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009204"	"06N1039:0002007"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009206"	"06N1021:0001007"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009207"	"06N1039:0002008"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009210"	"06N1025:0001207"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009211"	"06N1719:0022302"	"he"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009212"	"06N1039:0002009"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009213"	"06N1017:0000701"	"qe"		"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N201:S0009501"	"06N1039:0002011"	"fuzzy_cl"	17	"v00015"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009006"	"06N1706:0021704"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009301"	"06N1701:0021512"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009302"	"06N1357:0015712"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009304"	"06N1357:0015713"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009305"	"06N1033:0001501"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009306"	"06N1431:0019103"	"tqe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009308"	"06N1706:0021709"	"qe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009309"	"06N1431:0019111"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009310"	"06N1713:0021913"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009312"	"06N1434:0019201"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009601"	"06N1351:0015210"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009602"	"06N1005:0003607"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009603"	"06N1034:0001601"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009604"	"06N1034:0001604"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009605"	"06N1353:0015401"	"tqe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009606"	"06N1353:0015403"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009610"	"06N1357:0015713"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009611"	"06N1431:0019103"	"tqe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009612"	"06N1431:0019111"	"tqe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009613"	"06N1356:0015601"	"tqe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009901"	"06N1351:0015210"	"tqe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009902"	"06N1357:0015710"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009903"	"06N1342:0014410"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009904"	"06N1434:0019207"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009904"	"06N1362:0015907"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009906"	"06N1034:0001605"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009908"	"06N1357:0015703"	"qe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009909"	"06N1362:0015908"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0009910"	"06N1719:0022303"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010201"	"06N1357:0015707"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010203"	"06N1434:0019203"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010501"	"06N1434:0019204"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010502"	"06N1363:0016003"	"tqe"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010503"	"06N1434:0019201"	"he"		"v00022"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010504"	"06N1019:0000805"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010505"	"06N1363:0016007"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010506"	"06N1357:0015710"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010510"	"06N1019:0000807"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010511"	"06N1039:0002007"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010801"	"06N1017:0000711"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010802"	"06N1434:0019205"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010803"	"06N1019:0000808"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010804"	"06N1434:0019206"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010805"	"06N1035:0001703"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010806"	"06N1434:0019209"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010808"	"06N1036:0001804"	"fuzzy_cl"	24	"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010809"	"06N1036:0001806"	"qe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010810"	"06N1247:0001907"	"qe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010811"	"06N1434:0019212"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0010812"	"06N1038:0001901"	"qe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011101"	"06N1346:0014710"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011102"	"06N1344:0014606"	"qe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011105"	"06N1435:0019304"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011107"	"06N1011:0000111"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011109"	"06N1344:0014612"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011110"	"06N1039:0002001"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011111"	"06N1349:0015006"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011401"	"06N1014:0000412"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011402"	"06N1014:0000404"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011403"	"06N1012:0000206"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011405"	"06N1347:0014801"	"qe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011406"	"06N1036:0001807"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011407"	"06N1041:0002203"	"qe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011408"	"06N1602:0019912"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0011409"	"06N1719:0022304"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0024201"	"06N1007:0003707"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0024207"	"06N1302:0016401"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0024505"	"06N1430:0019003"	"he"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0024802"	"06N1314:0016809"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0024804"	"06N1315:0016901"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0024805"	"06N1431:0019108"	"tqe"		"v00023"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0024807"	"06N1317:0017001"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025101"	"06N1602:0019905"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025108"	"06N1602:0019909"	"qe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025401"	"06N1602:0019910"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025402"	"06N1602:0019913"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025406"	"06N1039:0002006"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025701"	"06N1039:0002008"	"qe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025702"	"06N1605:0020106"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025703"	"06N1039:0002009"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025704"	"06N1302:0016406"	"qe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025705"	"06N1039:0002011"	"fuzzy_cl"	10	"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025706"	"06N1302:0016410"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025707"	"06N1609:0020301"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0025708"	"06N1609:0020307"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026301"	"06N1039:0002013"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026303"	"06N1612:0020503"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026005"	"06N1611:0020402"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026309"	"06N1302:0016413"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026310"	"06N1313:0016702"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026606"	"06N1612:0020505"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026608"	"06N1041:0002204"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026805"	"06N1042:0002304"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026901"	"06N1042:0002302"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026908"	"06N1042:0002305"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026911"	"06N1616:0020707"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0026912"	"06N1701:0021503"	"tqe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0027201"	"06N1620:0020905"	"qe"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0027202"	"06N1313:0016701"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0027203"	"06N1042:0002306"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0027204"	"06N1043:0002401"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0027501"	"06N1043:0002403"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0027802"	"06N1313:0016703"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0027803"	"06N1701:0021506"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"06N301:W0028401"	"06N1314:0016804"	"he"		"v00024"	"wade"	"Jan 15, 2014 9:27:33"	
"07R201:S0027617"	"07R2624:0068112"	"he"		"v00031"	"wade"	"Jan 15, 2014 9:27:33"	
"07R201:S0027908"	"07R2277:0093502"	"qe"		"v00031"	"wade"	"Jan 15, 2014 9:27:33"	
"07R201:S0027917"	"07R2290:0094205"	"qe"		"v00031"	"wade"	"Jan 15, 2014 9:27:33"	
